zReHs href,LC20lb,VuuXrf,qLRx3b,ylgVCe,VwiC3b,VwiC3b (2),kb0PBd href,VwiC3b (3),mgAbYb,YrbPuc,YrbPuc (2)
https://order.ocard.co/leekit/mNknzK,晟心庇護廚房,Ocard,https://order.ocard.co › leekit › mNknzK,› leekit › mNknzK,晟心庇護廚房線上訂購1、輔導身心障礙者於支持下接受就業。2、主打新鮮蔬菜多、種類多，無再製食品。3、餐食維持食物的原味，健康、色香味俱全。,晟心庇護廚房,https://order.ocard.co/leekit/mNknzK,,,,
https://www.facebook.com/lee318189/?locale=zh_TW,晟心餐飲庇護工場| Taitung,Facebook · 晟心餐飲庇護工場,超過 2190 個追蹤者,,,,https://www.facebook.com/lee318189/?locale=zh_TW,✋暖心價每份130元！ 立刻想吃，就來晟心，讓健康美食溫暖您的心！ 歡迎來電訂餐 ☎️089-318189 台東市正氣路489號 #線上訂購：https://order.ocard.co/leekit/mNknzK #晟心餐飲 ...,,,
,,,,,,,,,菜單精選,,
https://www.peopo.org/news/805367,晟心庇護廚房陪伴心智障礙員工克服障礙培養一技之長,PeoPo 公民新聞,https://www.peopo.org › news,› news,晟心庇護廚房捐贈華山基金會愛心便當供獨居弱勢三失長者 · willy328. 2025/08/26 14:39 ; 晟心餐飲庇護工場輔導心智障礙員工克服障礙製作中秋堅果禮盒.,晟心庇護廚房,https://www.peopo.org/news/805367,,,2025年4月25日 —,2025年4月25日
https://tw.news.yahoo.com/%E6%88%BF%E6%9D%B1%E5%B0%87%E8%B3%A3%E5%B1%8B-%E6%99%9F%E5%BF%83%E5%BA%87%E8%AD%B7%E5%BB%9A%E6%88%BF%E7%9B%BC%E5%8B%9F%E8%B3%87%E8%B2%B7%E4%B8%8B%E6%94%AF%E6%8C%81%E8%BA%AB%E9%9A%9C%E5%B0%B1%E6%A5%AD-095220592.html,房東將賣屋晟心庇護廚房盼募資買下支持身障就業,奇摩新聞,https://tw.news.yahoo.com › 即時,› 即時,創辦於2019年的臺東晟心庇護廚房，聘用6名身心障礙者，每日為臺東縣獨居老人、弱勢家庭提供約400份營養餐食，也為身心障礙者圓職場夢，但日前傳出房東不再 ...,晟心庇護廚房,https://tw.news.yahoo.com/%E6%88%BF%E6%9D%B1%E5%B0%87%E8%B3%A3%E5%B1%8B-%E6%99%9F%E5%BF%83%E5%BA%87%E8%AD%B7%E5%BB%9A%E6%88%BF%E7%9B%BC%E5%8B%9F%E8%B3%87%E8%B2%B7%E4%B8%8B%E6%94%AF%E6%8C%81%E8%BA%AB%E9%9A%9C%E5%B0%B1%E6%A5%AD-095220592.html,,,2025年6月25日 —,2025年6月25日
https://order.ocard.co/leekit/,晟心庇護廚房,Ocard,https://order.ocard.co › leekit,› leekit,晟心庇護廚房線上訂購1、輔導身心障礙者於支持下接受就業。2、主打新鮮蔬菜多、種類多，無再製食品。3、餐食維持食物的原味，健康、色香味俱全。,晟心庇護廚房,,,,,
https://channelplus.ner.gov.tw/channel-news-episode/119295,房東將賣屋晟心庇護廚房盼募資買下支持身障就業,教育廣播電台「Channel+」,https://channelplus.ner.gov.tw › channel-news-episode,› channel-news-episode,創辦於2019年的臺東晟心庇護廚房，聘用6名身心障礙者，每日為臺東縣獨居老人、弱勢家庭提供約400份營養餐食，也為身心障礙者圓職場夢，但日前傳出房東不再 ...,晟心庇護廚房,,,,2025年6月25日 —,2025年6月25日
https://www.peopo.org/news/818988,晟心庇護廚房捐贈華山基金會愛心便當供獨居弱勢三失長者,PeoPo 公民新聞,https://www.peopo.org › news,› news,晟心庇護廚房針對不同身心障礙進行培訓，此次捐贈華山基金會愛心便當供獨居弱勢三失長者更是對社會責任感的實踐，透過工作安排、技能訓練及情感支持獲得 ...,晟心庇護廚房,,,,2025年8月26日 —,2025年8月26日
https://startup.sme.gov.tw/sitaiwan/Home/Org?Fid=1000,財團法人李勝賢文教基金會附設晟心餐飲庇護工場 - 新創圓夢網,新創圓夢網,https://startup.sme.gov.tw › sitaiwan › Home › Org,› sitaiwan › Home › Org,,,,1、最簡單的烹飪方式，不過多的調味。 2、符合家庭口味的美食與價位。 3、訓練身障就業來提供優質的服務給客人。 4、讓身障者有工作，讓使用者有健康的餐食。,,,
https://www.chinatimes.com/realtimenews/20250624004257-264223,台東「晟心廚房」陷危機！房東要賣房身障員工恐失業,中時新聞網,https://www.chinatimes.com › 寶島,› 寶島,創辦於2019年的台東晟心庇護廚房為台東縣獨居老人、弱勢家庭每日提供約400份營養餐食，目前共聘用6名身障者，創辦人陳美蘭表示，因自己有個身障孩子， ...,晟心庇護廚房,,,,2025年6月24日 —,2025年6月24日
